S_CORP_UPST_FIN_CORP_&{ENV},"['FIN_CORP_RESTR_&{ENV}_CURATED.FIN_SHARE', 'FIN_CORP_RESTR_&{ENV}_CURATED.FIN_SHARE.VWS_ERA_TRAN_DFX_GLOBAL_UPST', 'FIN_CORP_RESTR_&{ENV}_CURATED.FIN_SHARE.VWS_ERA_DFX_TRAN_LIVE_UFO_SHARE']",3
S_CORP_UPST_FIN_FL_&{ENV},"['FIN_FL_RESTR_&{ENV}_CURATED"".""FIN_SHARE', 'FIN_FL_RESTR_&{ENV}_CURATED"".""FIN_SHARE"".""VWS_GLPCA_AM_UPST', 'FIN_FL_RESTR_&{ENV}_CURATED"".""FIN_SHARE"".""VWS_GLPCA_AP_UPST', 'FIN_FL_RESTR_&{ENV}_CURATED"".""FIN_SHARE"".""VWS_GLPCA_EU_UPST']",4
S_CORP_UPST_FIN_BAM_RAW_&{ENV},"['FIN_GENERAL_&{ENV}_RAW.FIN_SHARE', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_OWNERSHIP_COMPANY_GRDB', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ZGFRPRDT_G3', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CT_DFX_CG_RU', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CT_DFX_COLUMN', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CT_DFX_CONS_GRP', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CT_DFX_ENTRY', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CT_DFX_FORM', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CT_DFX_LINE', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CT_DFX_RU', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CT_DFX_SEGMENT', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CT_DFX_SEG_GROUP', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CT_DFX_SG_SEGM', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CT_DFX_TC', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_AFKO_AM', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_AFKO_AP', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_AFKO_EU', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_AFKO_G3', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_AFKO_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_AFKO_XT', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ANLA_AM', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ANLA_AP', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ANLA_EU', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ANLA_G3', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ANLA_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ANLA_XT', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ANLB_AM', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ANLB_AP', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ANLB_EU', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ANLB_G3', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ANLB_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ANLB_XT', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ANLZ_AM', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ANLZ_AP', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ANLZ_EU', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ANLZ_G3', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ANLZ_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ANLZ_XT', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CSKB_AM', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CSKB_AP', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CSKB_EU', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CSKB_G3', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CSKB_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CSKB_XT', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CT_DFX_CG_RU', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CT_DFX_COLUMN', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CT_DFX_CONS_GRP', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CT_DFX_ENTRY', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CT_DFX_FORM', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CT_DFX_LINE', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CT_DFX_RU', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CT_DFX_SEG_GROUP', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CT_DFX_SEGMENT', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CT_DFX_SG_SEGM', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CT_DFX_TC', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_DFX_GROUP_COMPANY_GRDB', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_HRRP_NODE_XT', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_HRRP_NODET_XT', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ILOA_AM', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ILOA_AP', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ILOA_EU', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ILOA_G3', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ILOA_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ILOA_XT', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_SETHEADERT_G3', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_SETHEADERT_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_SETLEAF_G3', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_SETLEAF_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_SETNODE_G3', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_SETNODE_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_T003P_AM', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_T003P_AP', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_T003P_EU', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_T003P_G3', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_T003P_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_T003P_XT', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_T350_AM', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_T350_AP', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_T350_EU', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_T350_G3', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_T350_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_T350_XT', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_T881T_AM', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_T881T_AP', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_T881T_EU', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_T881T_G3', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_T881T_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_T881T_XT', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_TSC0C_AM', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_TSC0C_AP', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_TSC0C_EU', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_TSC0C_G3', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_TSC0C_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_TSC0C_XT', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_YFIAA_DDAMASTER_XT', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_YFICO_CSKS_XT', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_YFICO_FIXED_FLDS_XT', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_YWXCO_AM', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_YWXCO_G3', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ZGFRBA_G3', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ZGFRRI_G3', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ZGRDC2B_G3', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ZGRDC2D_G3', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ZGRDC2T_G3', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ZGRDC3T_G3', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ZGRDCDATE_G3', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ZGRECG1T_G3', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ZGRECG1T_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ZGRECG1T_XT', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ZGRECG2_G3', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ZGRECG2_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ZGRECG2_XT', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ZGRECG2T_G3', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ZGRECG2T_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ZGRECG2T_XT', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ZZ_STAGING_YWXCO_GRDB', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_AFIH_AP', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_AFIH_G3', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_AFIH_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_AFIH_XT', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ZGFINCTYPE_G3', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_JEST_XT', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_SKA1_XT', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CSKT_XT', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CSKS_XT', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CEPCT_XT', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_YFICO_TAGASSIGN_XT', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_YFICO_TAGGROUP_XT', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_T8JV_G3', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_T8JV_XT', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_T8JV_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_T023T_G3', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_T023T_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_T023T_XT']",134
S_CORP_OPS_FIN_GEN_RAW_&{ENV},"['FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_AUFK_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CRHD_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CSKS_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_CSKT_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_DD03L_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_DD04T_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_DD07T_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_JEST_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_T001K_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_T001W_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_T005T_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_TJ02T_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_AFIH_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_AFKO_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_ILOA_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_T003P_S8', 'FIN_GENERAL_&{ENV}_RAW.FIN_SHARE.VWS_T350_S8']",17
S_CORP_UPST_FIN_JET_&{ENV},"['FIN_UPST_RESTR_&{ENV}_CURATED.FIN_SHARE.VWS_FI_OPENING_BALANCES_ID', 'FIN_UPST_RESTR_&{ENV}_CURATED.FIN_SHARE.VWS_JET_FI_ACTUAL_G3', 'FIN_UPST_RESTR_&{ENV}_CURATED.FIN_SHARE.VWS_JET_FI_ACTUAL_ID', 'FIN_UPST_RESTR_&{ENV}_CURATED.FIN_SHARE.VWS_JET_FI_ACTUAL_S8', 'FIN_UPST_RESTR_&{ENV}_CURATED.FIN_SHARE.VWS_JET_WWSL_DETAIL_ACTUAL_G3', 'FIN_UPST_RESTR_&{ENV}_CURATED.FIN_SHARE.VWS_JET_WWSL_DETAIL_ACTUAL_S8', 'FIN_UPST_RESTR_&{ENV}_CURATED.FIN_SHARE.VWS_JET_WWSL_TOTAL_ACTUAL_G3']",7
S_CORP_KEPLER_FIN_CHEM_TRAN_&{ENV},"['FIN_UPST_RESTR_&{ENV}_CURATED.FIN_SHARE', 'FIN_UPST_RESTR_&{ENV}_CURATED.FIN_SHARE.VWS_ACCOUNTING_UPST', 'FIN_UPST_RESTR_&{ENV}_CURATED.FIN_SHARE.VWS_CONTROLLING_DOCUMENT_UPST', 'FIN_UPST_RESTR_&{ENV}_CURATED.FIN_SHARE.VWS_PM_COST_UPST']",4
S_CORP_UPST_FIN_JET_RAW_&{ENV},"['FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_ACDOCA_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_EM_FED_JET_ID', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_EM_FED_POSTED_JOURNAL_ID', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_EM_FED_POSTED_JOURNAL_IDEAS', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_YWS01A_S8', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_ZGFR01A_G3', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_ZGFR01A_S8', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_ZGFR01A_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_EM_FED_JVS_REVIEWED_JOURNALS', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_EM_FED_JVS_PENDING_APPROVAL', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_EM_FED_EXCLUDED_COMPANIES_ID', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_PR_DNVD_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_PR_MP_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_PR_MPVD_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_CM_CPDC_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_DO_PUC_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_DO_TR_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_CM_CTTYP_TX_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_CM_CTTYP_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_CM_MKCT_TX_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_CM_MKCT_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_CM_PDCD_TX_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_CM_PDCD_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_DO_DI_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_PR_DN_LINK_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_PR_DN_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_PR_MPTRNH_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_PR_NODE_DN_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_PR_NODE_MP_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_PR_NODE_WC_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_PR_WC_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_PR_WCDVLH_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_PR_WCVD_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_PR_WELL_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIUCA_CTMP_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIUCA_CTWC_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIUCM_CONTRACT_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_PRA_ACCT_DOC_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_YPRPR_MIDMP_XREF_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_YPRRE_CT_XREF_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_YPRRE_CT_XREF_SF_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_SB_CTRWC_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_SB_DOIWC_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_DO_DO_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_CM_MAT_PRCD_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_DO_DP_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_PR_MPVL_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_SB_ACTMP_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_SB_ACTWC_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_SB_CTRMP_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_SB_DOIMP_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_SB_RNAMP_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_SB_RNAWC_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_T8J1D_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_YPRPR_DCVT_XREF_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_YPRPR_GSDN_XREF_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_YPRPR_PDN_EXCEP_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_YPRRE_88_ACC_DOC_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_ZPRAGP_RNACT_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_ZPRTGP_D1_WETGAS_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_ZPRTGP_D2_PR_VTP_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_ZPRTGP_D4_ALLDTL_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_ZPRTGPHDRDOC_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_ZPRTGPPRDNDOC_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_EM_FED_BALANCE_IDEAS', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_EM_FED_GL_BALANCE_ID', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_CM_PINTTY_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_PRA_BP_VEND_MD_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_OIU_PR_FIELD_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_TCJET_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_YFIFR_MAT_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_SETHEADERT_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_YFICO_ACCR_KST_A_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_TJ30T_XT', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_YFICO_ACCR_TYPE_XT']",75
S_CORP_OPS_FIN_UPST_RESTR_RAW_&{ENV},"['FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_COBK_S8', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_RPSCO_S8', 'FIN_UPST_RESTR_&{ENV}_RAW.FIN_SHARE.VWS_COEP_S8']",3
